country_iso,country_name,year,total_cases,total_deaths,population,cases_per_100k,deaths_per_100k,mortality_rate
ABW,Aruba,2020,5373.0,49.0,108587,4948.11,45.13,0.911967
ABW,Aruba,2021,13701.0,132.0,107700,12721.5,122.56,0.963433
ABW,Aruba,2022,24839.0,99.0,107310,23147.0,92.26,0.398567
ABW,Aruba,2023,364.0,12.0,107359,339.05,11.18,3.2967
ABW,Aruba,2024,0.0,0.0,107624,0.0,0.0,0.0
AFG,Afghanistan,2020,52330.0,2189.0,39068979,133.94,5.6,4.18307
AFG,Afghanistan,2021,105729.0,5167.0,40000412,264.32,12.92,4.88702
AFG,Afghanistan,2022,49495.0,493.0,40578842,121.97,1.21,0.99606
AFG,Afghanistan,2023,22821.0,124.0,41454761,55.05,0.3,0.543359
AFG,Afghanistan,2024,4839.0,25.0,42647492,11.35,0.06,0.516636
AGO,Angola,2020,17433.0,405.0,33451132,52.11,1.21,2.32318
AGO,Angola,2021,59354.0,1352.0,34532429,171.88,3.92,2.27786
AGO,Angola,2022,28308.0,173.0,35635029,79.44,0.49,0.611135
AGO,Angola,2023,1833.0,7.0,36749906,4.99,0.02,0.381888
AGO,Angola,2024,559.0,0.0,37885849,1.48,0.0,0.0
ALB,Albania,2020,57146.0,1170.0,2837849,2013.71,41.23,2.04739
ALB,Albania,2021,151753.0,2042.0,2811666,5397.26,72.63,1.34561
ALB,Albania,2022,123869.0,384.0,2777689,4459.43,13.82,0.310005
ALB,Albania,2023,1828.0,8.0,2745972,66.57,0.29,0.437637
ALB,Albania,2024,2600.0,4.0,2714617,95.78,0.15,0.153846
AND,Andorra,2020,7983.0,84.0,77380,10316.6,108.56,1.05224
AND,Andorra,2021,15139.0,56.0,78364,19318.8,71.46,0.369906
AND,Andorra,2022,24629.0,18.0,79705,30900.2,22.58,0.0730845
AND,Andorra,2023,264.0,1.0,80856,326.51,1.24,0.378788
AND,Andorra,2024,0.0,0.0,81938,0.0,0.0,0.0
ARE,United Arab Emirates,2020,206092.0,665.0,9401038,2192.23,7.07,0.322671
ARE,United Arab Emirates,2021,553419.0,1497.0,9575152,5779.74,15.63,0.2705
ARE,United Arab Emirates,2022,287407.0,186.0,10074977,2852.68,1.85,0.0647165
ARE,United Arab Emirates,2023,20112.0,1.0,10483751,191.84,0.01,0.0049721
ARE,United Arab Emirates,2024,0.0,0.0,10876981,0.0,0.0,0.0
ARG,Argentina,2020,1674319.0,48271.0,45191965,3704.9,106.81,2.88302
ARG,Argentina,2021,4106203.0,69905.0,45312281,9062.01,154.27,1.70242
ARG,Argentina,2022,4110617.0,11948.0,45407904,9052.65,26.31,0.290662
ARG,Argentina,2023,153818.0,348.0,45538401,337.78,0.76,0.226241
ARG,Argentina,2024,65805.0,264.0,45696159,144.01,0.58,0.401185
ARM,Armenia,2020,159409.0,2823.0,2961500,5382.71,95.32,1.77092
ARM,Armenia,2021,185521.0,5149.0,2962300,6262.74,173.82,2.77543
ARM,Armenia,2022,100690.0,738.0,2969200,3391.15,24.86,0.732943
ARM,Armenia,2023,5806.0,65.0,2964300,195.86,2.19,1.11953
ARM,Armenia,2024,2644.0,9.0,3033500,87.16,0.3,0.340393
ASM,American Samoa,2020,0.0,0.0,49761,0.0,0.0,0.0
ASM,American Samoa,2021,11.0,0.0,49225,22.35,0.0,0.0
ASM,American Samoa,2022,8274.0,34.0,48342,17115.6,70.33,0.410926
ASM,American Samoa,2023,74.0,0.0,47521,155.72,0.0,0.0
ASM,American Samoa,2024,0.0,0.0,46765,0.0,0.0,0.0
ATG,Antigua and Barbuda,2020,158.0,5.0,91846,172.03,5.44,3.16456
ATG,Antigua and Barbuda,2021,4145.0,114.0,92349,4488.41,123.44,2.7503
ATG,Antigua and Barbuda,2022,4811.0,27.0,92840,5182.03,29.08,0.561214
ATG,Antigua and Barbuda,2023,0.0,0.0,93316,0.0,0.0,0.0
ATG,Antigua and Barbuda,2024,0.0,0.0,93772,0.0,0.0,0.0
AUS,Australia,2020,28381.0,920.0,25649248,110.65,3.59,3.24161
AUS,Australia,2021,338226.0,1523.0,25685412,1316.8,5.93,0.450291
AUS,Australia,2022,10418952.0,16467.0,26014399,40050.7,63.3,0.158048
AUS,Australia,2023,935976.0,5510.0,26652777,3511.74,20.67,0.58869
AUS,Australia,2024,139626.0,892.0,27204809,513.24,3.28,0.638849
AUT,Austria,2020,352657.0,7379.0,8916864,3954.94,82.75,2.0924
AUT,Austria,2021,911872.0,9318.0,8955797,10181.9,104.04,1.02185
AUT,Austria,2022,4436317.0,4937.0,9041851,49064.3,54.6,0.111286
AUT,Austria,2023,381324.0,900.0,9131761,4175.8,9.86,0.23602
AUT,Austria,2024,876.0,0.0,9178482,9.54,0.0,0.0
AZE,Azerbaijan,2020,216584.0,2575.0,10093121,2145.86,25.51,1.18892
AZE,Azerbaijan,2021,399768.0,5771.0,10137750,3943.36,56.93,1.44359
AZE,Azerbaijan,2022,209959.0,1662.0,10141756,2070.24,16.39,0.791583
AZE,Azerbaijan,2023,7943.0,345.0,10153958,78.23,3.4,4.34345
AZE,Azerbaijan,2024,2244.0,0.0,10202850,21.99,0.0,0.0
BDI,Burundi,2020,818.0,2.0,12617036,6.48,0.02,0.244499
BDI,Burundi,2021,29732.0,12.0,12965481,229.32,0.09,0.0403605
BDI,Burundi,2022,21612.0,1.0,13321097,162.24,0.01,0.004627
BDI,Burundi,2023,2404.0,0.0,13689450,17.56,0.0,0.0
BDI,Burundi,2024,108.0,0.0,14047786,0.77,0.0,0.0
BEL,Belgium,2020,645277.0,19638.0,11538604,5592.33,170.19,3.04334
BEL,Belgium,2021,1451435.0,8679.0,11586195,12527.3,74.91,0.59796
BEL,Belgium,2022,2588192.0,5002.0,11680210,22158.8,42.82,0.193262
BEL,Belgium,2023,163841.0,1020.0,11787423,1389.96,8.65,0.622555
BEL,Belgium,2024,43995.0,0.0,11876844,370.43,0.0,0.0
BEN,Benin,2020,3251.0,44.0,13070169,24.87,0.34,1.35343
BEN,Benin,2021,21793.0,117.0,13413417,162.47,0.87,0.53687
BEN,Benin,2022,2942.0,2.0,13759501,21.38,0.01,0.0679809
BEN,Benin,2023,50.0,0.0,14111034,0.35,0.0,0.0
BEN,Benin,2024,0.0,0.0,14462724,0.0,0.0,0.0
BFA,Burkina Faso,2020,6707.0,85.0,21478690,31.23,0.4,1.26733
BFA,Burkina Faso,2021,10925.0,233.0,21995243,49.67,1.06,2.13272
BFA,Burkina Faso,2022,4391.0,77.0,22509038,19.51,0.34,1.75359
BFA,Burkina Faso,2023,86.0,5.0,23025776,0.37,0.02,5.81395
BFA,Burkina Faso,2024,55.0,0.0,23548781,0.23,0.0,0.0
BGD,Bangladesh,2020,513510.0,7559.0,166298024,308.79,4.55,1.47203
BGD,Bangladesh,2021,1072029.0,20519.0,167658854,639.41,12.24,1.91403
BGD,Bangladesh,2022,451586.0,1368.0,169384897,266.6,0.81,0.302932
